Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements,Decay Type,Best Log-Y R-value,Best Log-Log R-value,Best Log-Y Window Times,Best Log-Log Window Times
104,2012,2012,195.7165277777778,199.08230324074077,17.196666666666665,1.975277777777778,4,"['Si', 'Fe']",Power-Law Decay,-0.8531310593666311,-0.9567272533695399,"(Timestamp('2012-07-14 11:08:51.283680'), Timestamp('2012-07-16 10:01:08.751362'))","(Timestamp('2012-07-14 14:08:21.773760'), Timestamp('2012-07-16 13:00:39.241442'))"
105,2012,2012,198.37590277777775,208.7225578703704,9.021666666666668,17.341388888888886,6,[],Exponential Decay,-0.9520491066019942,-0.9509012211063887,"(Timestamp('2012-07-17 13:56:33.535677'), Timestamp('2012-07-25 12:25:14.842563'))","(Timestamp('2012-07-19 11:49:00.945118'), Timestamp('2012-07-27 10:17:42.251996'))"
106,2012,2012,244.08401620370373,250.4000462962963,2.016388888888889,9.601111111111113,4,"['Si', 'Fe']",Exponential Decay,-0.9616687501964193,-0.8241688043953017,"(Timestamp('2012-09-01 15:54:45.122401'), Timestamp('2012-09-06 13:35:24.609122'))","(Timestamp('2012-09-01 20:53:56.044320'), Timestamp('2012-09-06 18:34:35.531041'))"
107,2012,2012,270.8440277777778,278.28197916666664,20.256666666666668,6.7675,4,"['N', 'Fe']",Exponential Decay,-0.9428460328983601,-0.8756976115022693,"(Timestamp('2012-09-28 19:07:42.216961'), Timestamp('2012-10-03 20:47:42.251996'))","(Timestamp('2012-09-29 11:05:05.040961'), Timestamp('2012-10-04 12:45:04.760640'))"
108,2013,2013,74.24998842592592,82.66665509259259,5.999722222222222,15.99972222222222,5,['Fe'],Exponential Decay,-0.9857538095134991,-0.9487744150737307,"(Timestamp('2013-03-17 16:59:59.958237'), Timestamp('2013-03-24 06:59:59.968317'))","(Timestamp('2013-03-17 05:59:59.887680'), Timestamp('2013-03-23 19:59:59.897761'))"
109,2013,2013,100.83332175925926,108.5416550925926,19.999722222222225,12.99972222222222,6,[],Exponential Decay,-0.9673879761818206,-0.9482193644537418,"(Timestamp('2013-04-11 16:00:00.102238'), Timestamp('2013-04-17 04:00:00.002878'))","(Timestamp('2013-04-13 08:00:00.100802'), Timestamp('2013-04-18 20:00:00.001441'))"
110,2013,2013,136.87498842592595,142.625,20.999722222222225,15.0,5,['Fe'],Exponential Decay,-0.9885393676337083,-0.9342354501148759,"(Timestamp('2013-05-18 10:00:00.054717'), Timestamp('2013-05-22 11:59:59.909280'))","(Timestamp('2013-05-17 17:59:59.866077'), Timestamp('2013-05-21 20:00:00.035997'))"
111,2013,2013,142.0,155.20832175925926,0.0,4.999722222222222,6,[],Power-Law Decay,-0.9139253573323453,-0.9586856334818614,"(Timestamp('2013-05-22 17:00:00.027363'), Timestamp('2013-06-01 17:00:00.018717'))","(Timestamp('2013-05-23 14:59:59.853120'), Timestamp('2013-06-02 14:59:59.844481'))"
112,2013,2013,174.20833333333334,179.5,5.0,12.0,5,['Fe'],Power-Law Decay,-0.9255519407950693,-0.9476189053902828,"(Timestamp('2013-06-23 22:00:00.054721'), Timestamp('2013-06-28 01:00:00.059039'))","(Timestamp('2013-06-23 20:59:59.904959'), Timestamp('2013-06-27 23:59:59.909277'))"
113,2013,2013,272.5416550925926,282.7916550925926,12.99972222222222,18.999722222222225,6,[],Exponential Decay,-0.9843977488827199,-0.9680476652816278,"(Timestamp('2013-10-02 16:00:00.141120'), Timestamp('2013-10-10 11:59:59.913599'))","(Timestamp('2013-10-01 16:59:59.850237'), Timestamp('2013-10-09 12:59:59.938080'))"
