Event Number,Start Year,End Year,Start Fractional Day,End Fractional Day,Start Hour,End Hour,Elements Decaying,Non-Decaying Elements
217,2001,2001,167.29166666666666,173.08333333333334,7.0,2.0,5,['Fe']
219,2001,2001,176.2916550925926,181.0416550925926,6.999722222222222,0.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
224,2001,2001,193.20832175925926,196.41666666666666,4.999722222222222,10.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
225,2001,2001,200.33332175925926,207.24998842592595,7.999722222222222,5.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
226,2001,2001,209.66666666666666,212.83333333333334,16.0,20.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
229,2001,2001,221.62498842592595,226.74998842592595,14.999722222222221,17.999722222222225,5,['Fe']
230,2001,2001,228.12498842592595,232.5,2.999722222222222,12.0,6,[]
231,2001,2001,232.7916550925926,239.62498842592595,18.999722222222225,14.999722222222221,5,['Fe']
232,2001,2001,239.2916550925926,247.58333333333334,6.999722222222222,14.0,2,"['Si', 'Fe', 'C', 'N']"
233,2001,2001,248.16666666666666,253.20833333333334,4.0,5.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
234,2001,2001,253.58332175925926,256.1249884259259,13.999722222222221,2.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
235,2001,2001,255.7916550925926,261.0416550925926,18.999722222222225,0.9997222222222222,2,"['Si', 'Fe', 'C', 'N']"
236,2001,2001,261.7083333333333,267.3333333333333,17.0,8.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
237,2001,2001,268.4999884259259,274.1249884259259,11.999722222222221,2.999722222222222,6,[]
238,2001,2001,273.9166550925926,280.2916666666667,21.999722222222225,7.0,6,[]
240,2001,2001,282.70832175925926,288.4166550925926,16.999722222222225,9.999722222222221,4,"['Si', 'Fe']"
242,2001,2001,292.95832175925926,298.4583333333333,22.999722222222225,11.0,5,['N']
244,2001,2001,300.6249884259259,305.70832175925926,14.999722222222221,16.999722222222225,2,"['Si', 'Fe', 'C', 'N']"
245,2001,2001,306.33332175925926,308.7083333333333,7.999722222222222,17.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
246,2001,2001,308.58332175925926,320.2083333333333,13.999722222222221,5.0,6,[]
247,2001,2001,322.0416550925926,326.9999884259259,0.9997222222222222,23.999722222222225,4,"['Si', 'Fe']"
248,2001,2001,326.0416550925926,343.2916666666667,0.9997222222222222,7.0,6,[]
249,2001,2001,346.2499884259259,350.08332175925926,5.999722222222222,1.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
250,2001,2001,349.7916666666667,352.83332175925926,19.0,19.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
251,2001,2001,352.5416550925926,358.6666666666667,12.999722222222221,16.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
252,2001,2001,360.1666550925926,364.4166550925926,3.999722222222222,9.999722222222221,6,[]
253,2001,2002,365.3333333333333,3.5416550925925927,8.0,12.999722222222221,6,[]
254,2002,2002,3.75,9.291655092592594,18.0,6.999722222222222,5,['Fe']
255,2002,2002,10.624988425925928,15.416666666666666,14.999722222222221,10.0,5,['Fe']
256,2002,2002,15.124988425925928,21.166655092592592,2.999722222222222,3.999722222222222,4,"['Si', 'Fe']"
259,2002,2002,27.374988425925924,31.125,8.999722222222221,3.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
260,2002,2002,31.249988425925924,34.99998842592593,5.999722222222222,23.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
263,2002,2002,45.875,48.041666666666664,21.0,1.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
264,2002,2002,50.083333333333336,60.208321759259256,2.0,4.999722222222222,5,['N']
265,2002,2002,60.0,64.08332175925926,0.0,1.9997222222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
266,2002,2002,66.79165509259259,71.49998842592592,18.999722222222225,11.999722222222221,1,"['Fe', 'C', 'Si', 'O', 'N']"
269,2002,2002,77.74998842592592,81.62498842592592,17.999722222222225,14.999722222222221,5,['Fe']
270,2002,2002,81.41665509259259,89.58332175925926,9.999722222222221,13.999722222222221,3,"['Si', 'Fe', 'N']"
271,2002,2002,89.58332175925926,96.91666666666667,13.999722222222221,22.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
272,2002,2002,101.62498842592592,104.54166666666667,14.999722222222221,13.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
274,2002,2002,107.33332175925926,111.08332175925926,7.999722222222222,1.9997222222222222,6,[]
275,2002,2002,110.66665509259259,119.91666666666667,15.999722222222221,22.0,6,[]
276,2002,2002,120.66665509259259,123.29165509259259,15.999722222222221,6.999722222222222,3,"['Si', 'Fe', 'N']"
277,2002,2002,125.66665509259259,128.25,15.999722222222221,6.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
278,2002,2002,127.91665509259259,135.37498842592595,21.999722222222225,8.999722222222221,3,"['Si', 'Fe', 'N']"
280,2002,2002,138.5416550925926,142.1666550925926,12.999722222222221,3.999722222222222,1,"['Fe', 'C', 'Si', 'O', 'N']"
281,2002,2002,141.95832175925926,148.62498842592595,22.999722222222225,14.999722222222221,6,[]
282,2002,2002,150.12498842592595,153.33333333333334,2.999722222222222,8.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
283,2002,2002,152.91666666666666,157.7916550925926,22.0,18.999722222222225,1,"['Fe', 'C', 'Si', 'O', 'N']"
284,2002,2002,159.33332175925926,163.875,7.999722222222222,21.0,1,"['Fe', 'C', 'Si', 'O', 'N']"
